no,timestamp
0.0,2016-02-22T00:00:21+01:00
0.0,2016-02-22T00:00:43+01:00
0.0,2016-02-22T00:01:05+01:00
0.0,2016-02-22T00:01:28+01:00
0.1,2016-02-22T00:01:50+01:00
0.0,2016-02-22T00:02:12+01:00
0.0,2016-02-22T00:02:34+01:00
0.0,2016-02-22T00:02:57+01:00
0.0,2016-02-22T00:03:19+01:00
0.0,2016-02-22T00:03:41+01:00
0.0,2016-02-22T00:04:03+01:00
0.0,2016-02-22T00:04:26+01:00
0.0,2016-02-22T00:04:48+01:00
0.0,2016-02-22T00:05:11+01:00
0.0,2016-02-22T00:05:33+01:00
0.0,2016-02-22T00:05:55+01:00
0.0,2016-02-22T00:06:17+01:00
0.0,2016-02-22T00:06:40+01:00
0.0,2016-02-22T00:07:02+01:00
0.1,2016-02-22T00:07:25+01:00
0.0,2016-02-22T00:07:47+01:00
0.1,2016-02-22T00:08:09+01:00
0.0,2016-02-22T00:08:32+01:00
0.0,2016-02-22T00:08:54+01:00
0.0,2016-02-22T00:09:16+01:00
0.0,2016-02-22T00:09:38+01:00
0.0,2016-02-22T00:10:01+01:00
0.0,2016-02-22T00:10:23+01:00
0.3,2016-02-22T00:10:45+01:00
0.2,2016-02-22T00:11:07+01:00
0.1,2016-02-22T00:11:30+01:00
0.1,2016-02-22T00:11:52+01:00
0.1,2016-02-22T00:12:15+01:00
0.0,2016-02-22T00:12:37+01:00
0.1,2016-02-22T00:13:00+01:00
0.1,2016-02-22T00:13:22+01:00
0.0,2016-02-22T00:13:44+01:00
0.1,2016-02-22T00:14:06+01:00
0.0,2016-02-22T00:14:28+01:00
0.0,2016-02-22T00:14:51+01:00
0.0,2016-02-22T00:15:13+01:00
0.1,2016-02-22T00:15:35+01:00
0.1,2016-02-22T00:15:57+01:00
0.1,2016-02-22T00:16:20+01:00
0.1,2016-02-22T00:16:42+01:00
0.2,2016-02-22T00:17:05+01:00
0.1,2016-02-22T00:17:27+01:00
0.1,2016-02-22T00:17:49+01:00
0.1,2016-02-22T00:18:12+01:00
0.0,2016-02-22T00:18:34+01:00
0.0,2016-02-22T00:18:56+01:00
0.1,2016-02-22T00:19:19+01:00
0.1,2016-02-22T00:19:41+01:00
0.1,2016-02-22T00:20:03+01:00
0.0,2016-02-22T00:20:26+01:00
0.0,2016-02-22T00:20:48+01:00
0.0,2016-02-22T00:21:10+01:00
0.1,2016-02-22T00:21:32+01:00
0.0,2016-02-22T00:21:55+01:00
0.0,2016-02-22T00:22:17+01:00
0.1,2016-02-22T00:22:40+01:00
0.0,2016-02-22T00:23:02+01:00
0.1,2016-02-22T00:23:24+01:00
0.0,2016-02-22T00:23:46+01:00
0.0,2016-02-22T00:24:08+01:00
0.0,2016-02-22T00:24:31+01:00
0.0,2016-02-22T00:24:53+01:00
0.0,2016-02-22T00:25:15+01:00
0.1,2016-02-22T00:25:37+01:00
0.0,2016-02-22T00:26:00+01:00
0.0,2016-02-22T00:26:22+01:00
0.0,2016-02-22T00:26:45+01:00
0.0,2016-02-22T00:27:08+01:00
0.0,2016-02-22T00:27:30+01:00
0.1,2016-02-22T00:27:52+01:00
0.0,2016-02-22T00:28:14+01:00
0.1,2016-02-22T00:28:37+01:00
0.1,2016-02-22T00:28:59+01:00
0.1,2016-02-22T00:29:21+01:00
0.1,2016-02-22T00:29:43+01:00
0.1,2016-02-22T00:30:06+01:00
0.0,2016-02-22T00:30:28+01:00
0.1,2016-02-22T00:30:50+01:00
0.2,2016-02-22T00:31:12+01:00
0.1,2016-02-22T00:31:35+01:00
0.1,2016-02-22T00:31:57+01:00
0.0,2016-02-22T00:32:19+01:00
0.1,2016-02-22T00:32:41+01:00
0.1,2016-02-22T00:33:03+01:00
0.1,2016-02-22T00:33:26+01:00
0.1,2016-02-22T00:33:48+01:00
0.1,2016-02-22T00:34:11+01:00
0.1,2016-02-22T00:34:33+01:00
0.1,2016-02-22T00:34:55+01:00
0.1,2016-02-22T00:35:17+01:00
0.2,2016-02-22T00:35:40+01:00
0.1,2016-02-22T00:36:02+01:00
0.2,2016-02-22T00:36:24+01:00
0.1,2016-02-22T00:36:46+01:00
0.1,2016-02-22T00:37:09+01:00
0.1,2016-02-22T00:37:31+01:00
0.1,2016-02-22T00:37:53+01:00
0.1,2016-02-22T00:38:15+01:00
0.1,2016-02-22T00:38:38+01:00
0.1,2016-02-22T00:39:00+01:00
0.1,2016-02-22T00:39:22+01:00
0.1,2016-02-22T00:39:44+01:00
0.1,2016-02-22T00:40:06+01:00
0.0,2016-02-22T00:40:29+01:00
0.1,2016-02-22T00:40:51+01:00
0.0,2016-02-22T00:41:14+01:00
0.2,2016-02-22T00:41:36+01:00
0.2,2016-02-22T00:41:59+01:00
0.2,2016-02-22T00:42:21+01:00
0.2,2016-02-22T00:42:44+01:00
0.1,2016-02-22T00:43:06+01:00
0.2,2016-02-22T00:43:28+01:00
0.2,2016-02-22T00:43:50+01:00
0.1,2016-02-22T00:44:13+01:00
0.1,2016-02-22T00:44:35+01:00
0.1,2016-02-22T00:44:57+01:00
0.1,2016-02-22T00:45:20+01:00
0.1,2016-02-22T00:45:42+01:00
0.1,2016-02-22T00:46:04+01:00
0.1,2016-02-22T00:46:26+01:00
0.1,2016-02-22T00:46:49+01:00
0.1,2016-02-22T00:47:11+01:00
0.1,2016-02-22T00:47:33+01:00
0.1,2016-02-22T00:47:55+01:00
0.1,2016-02-22T00:48:17+01:00
0.1,2016-02-22T00:48:40+01:00
0.2,2016-02-22T00:49:03+01:00
0.2,2016-02-22T00:49:26+01:00
0.2,2016-02-22T00:49:48+01:00
0.1,2016-02-22T00:50:10+01:00
0.1,2016-02-22T00:50:32+01:00
0.1,2016-02-22T00:50:54+01:00
0.1,2016-02-22T00:51:17+01:00
0.2,2016-02-22T00:51:39+01:00
0.1,2016-02-22T00:52:01+01:00
0.1,2016-02-22T00:52:23+01:00
0.1,2016-02-22T00:52:46+01:00
0.1,2016-02-22T00:53:08+01:00
0.1,2016-02-22T00:53:30+01:00
0.1,2016-02-22T00:53:52+01:00
0.2,2016-02-22T00:54:15+01:00
0.1,2016-02-22T00:54:37+01:00
0.2,2016-02-22T00:54:59+01:00
0.2,2016-02-22T00:55:21+01:00
0.2,2016-02-22T00:55:44+01:00
0.1,2016-02-22T00:56:06+01:00
0.1,2016-02-22T00:56:29+01:00
0.1,2016-02-22T00:56:51+01:00
0.1,2016-02-22T00:57:13+01:00
0.1,2016-02-22T00:57:36+01:00
0.1,2016-02-22T00:57:58+01:00
0.1,2016-02-22T00:58:20+01:00
0.1,2016-02-22T00:58:42+01:00
0.1,2016-02-22T00:59:05+01:00
0.1,2016-02-22T00:59:27+01:00
0.1,2016-02-22T00:59:49+01:00
0.1,2016-02-22T01:00:11+01:00
0.1,2016-02-22T01:00:34+01:00
0.1,2016-02-22T01:00:56+01:00
0.1,2016-02-22T01:01:18+01:00
0.2,2016-02-22T01:01:40+01:00
0.1,2016-02-22T01:02:03+01:00
0.1,2016-02-22T01:02:25+01:00
0.1,2016-02-22T01:02:47+01:00
0.2,2016-02-22T01:03:09+01:00
0.1,2016-02-22T01:03:31+01:00
0.2,2016-02-22T01:03:54+01:00
0.2,2016-02-22T01:04:17+01:00
0.2,2016-02-22T01:04:39+01:00
0.3,2016-02-22T01:05:01+01:00
0.3,2016-02-22T01:05:24+01:00
0.3,2016-02-22T01:05:46+01:00
0.3,2016-02-22T01:06:09+01:00
0.2,2016-02-22T01:06:31+01:00
0.1,2016-02-22T01:06:53+01:00
0.1,2016-02-22T01:07:15+01:00
0.1,2016-02-22T01:07:38+01:00
0.0,2016-02-22T01:08:00+01:00
0.1,2016-02-22T01:08:22+01:00
0.1,2016-02-22T01:08:44+01:00
0.1,2016-02-22T01:09:06+01:00
0.2,2016-02-22T01:09:29+01:00
0.1,2016-02-22T01:09:51+01:00
