Fit Coefficient (NO2),Fit Coefficient Error (NO2),Shift (NO2),Shift Error (NO2),Squeeze (NO2),Squeeze Error (NO2),Quadratic Squeeze (NO2),Quadratic Squeeze Error (NO2),Cubic Squeeze (NO2),Cubic Squeeze Error (NO2),Fit Coefficient (H2O),Fit Coefficient Error (H2O),Shift (H2O),Shift Error (H2O),Squeeze (H2O),Squeeze Error (H2O),Quadratic Squeeze (H2O),Quadratic Squeeze Error (H2O),Cubic Squeeze (H2O),Cubic Squeeze Error (H2O),Fit Coefficient (CHOCHO),Fit Coefficient Error (CHOCHO),Shift (CHOCHO),Shift Error (CHOCHO),Squeeze (CHOCHO),Squeeze Error (CHOCHO),Quadratic Squeeze (CHOCHO),Quadratic Squeeze Error (CHOCHO),Cubic Squeeze (CHOCHO),Cubic Squeeze Error (CHOCHO),Fit Coefficient (O3),Fit Coefficient Error (O3),Shift (O3),Shift Error (O3),Squeeze (O3),Squeeze Error (O3),Quadratic Squeeze (O3),Quadratic Squeeze Error (O3),Cubic Squeeze (O3),Cubic Squeeze Error (O3),Chi Square,Delta,RMS,FitSteps,Poly. Coeff. 0,Poly. Coeff. Error 0,Poly. Coeff. 1,Poly. Coeff. Error 1,Poly. Coeff. 2,Poly. Coeff. Error 2,Poly. Coeff. 3,Poly. Coeff. Error 3,Author,Average,AzimuthAngle,Delta,DeltaRel,Deviation,Device,ElevationAngle,ExposureTime,FitHigh,FitLow,IntensityScale,LightPath,LightSource,Marker,MathHigh,MathLow,Max,MaxChannel,Min,MinChannel,MultiChannelCounter,Name,NumScans,ObjectKey,OpticalDensity,OpticalDensityCenter,OpticalDensityLeft,OpticalDensityRight,Pressure,Remark,ScanMax,Site,StartDate,StartDateAndTime,StartTime,StopDate,StopDateAndTime,StopTime,TemperatureAmbient,TimeZoneOffset,File Number,UserParam4,Center Time,NAddupSpectra,Avg. Intensity,HR Latitude,HR Longitude,I0 Center Time,I0 File Number,#ICEDOAS iter.,CellPressure
0.0677816663820136,0.0821772646776116,-1.56251632109981,0.156316148852223,1,0,0,0,0,0,-74280.495111328,1217959.88735709,-1.56251632109981,0.156316148852223,1,0,0,0,0,0,-0.120428415733765,0.158378913727193,-1.56251632109981,0.156316148852223,1,0,0,0,0,0,559.466228658016,1515.04636855567,-1.56251632109981,0.156316148852223,1,0,0,0,0,0,7.4565084784448E-06,0.000811616407602101,0.000135022481196687,5,-2.42253936058454,4.48112264883824,0.0162359061708744,0.0301778224813256,-3.62652142507339E-05,6.77380809420232E-05,2.69967799445333E-08,5.0678273845633E-08,,-6.36888898964962E-20,0,0.000806980845486849,-1.26706690413086E+16,0.000140726715306572,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.000378694374570208,2047,-0.000428286470916641,0,0,I0_00000,5000,m_oMeasOptDensity,5006287758775.92,1024,102,1945,972575,,0,,02/22/2016,2016-02-22 15:44:28,15:44:28,02/22/2016,2016-02-22 15:45:18,15:45:18,25.05,01:00:00,0,,02/22/2016 15:44:53,1,2458.93824594208,0.0000000,0.0000000,02/22/2016 15:48:16,4,2,922575
-0.0211666367278593,0.0838682969002532,0.0930105398282894,0.206824272702343,1,0,0,0,0,0,686914.310599123,1192316.9043109,0.0930105398282894,0.206824272702343,1,0,0,0,0,0,0.0220455760826509,0.116758566419681,0.0930105398282894,0.206824272702343,1,0,0,0,0,0,-484.801583359493,1483.01884160463,0.0930105398282894,0.206824272702343,1,0,0,0,0,0,7.09632235650147E-06,0.000889390807526627,0.000131720978786767,3,-0.71266993882562,4.5374202183345,0.00481148516282843,0.0305635884752418,-1.08254057016308E-05,6.86191164282242E-05,8.11678048523898E-09,5.13489251465471E-08,,3.94061693339525E-21,0,0.00104553061304602,2.65321555156893E+17,0.000143775983655134,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.000457344205567616,2047,-0.0005881864074784,0,0,I0_00001,5000,m_oMeasOptDensity,359783330140681,1024,102,1945,972505,,0,,02/22/2016,2016-02-22 15:45:19,15:45:19,02/22/2016,2016-02-22 15:46:09,15:46:09,25.16,01:00:00,1,,02/22/2016 15:45:44,1,2461.49646246437,0.0000000,0.0000000,02/22/2016 15:48:16,4,2,922505
-0.0458957360593977,0.0869945647994088,0.450343493056413,0.209522185856281,1,0,0,0,0,0,-178447.218528634,1237206.17787942,0.450343493056413,0.209522185856281,1,0,0,0,0,0,-0.0659992706811794,0.11881898996487,0.450343493056413,0.209522185856281,1,0,0,0,0,0,-925.886065189604,1536.85952196043,0.450343493056413,0.209522185856281,1,0,0,0,0,0,7.61674339168476E-06,0.000790064814175207,0.000136465542144828,10,1.33648885812177,4.91304532507754,-0.00904153311906895,0.0331004368800843,2.03867970772689E-05,7.4329765092459E-05,-1.53209774318932E-08,5.56336943886703E-08,,-3.90334082726854E-20,0,0.000803506079674378,-2.05850863460635E+16,0.000143493957760798,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.000428387625886087,2047,-0.000375118453788292,0,0,I0_00002,5000,m_oMeasOptDensity,211299110479029,1024,102,1945,972.51,,0,,02/22/2016,2016-02-22 15:46:10,15:46:10,02/22/2016,2016-02-22 15:47:00,15:47:00,25.17,01:00:00,2,,02/22/2016 15:46:35,1,2461.37211200176,0.0000000,0.0000000,02/22/2016 15:48:16,4,2,922.51
0.0343611452891703,0.0829102841374577,-0.0514524496635387,0.460433955378814,1,0,0,0,0,0,92730.9766408387,1177881.35951105,-0.0514524496635387,0.460433955378814,1,0,0,0,0,0,0.0132379712162821,0.127241020418894,-0.0514524496635387,0.460433955378814,1,0,0,0,0,0,-3.62812505870297,1473.38620111554,-0.0514524496635387,0.460433955378814,1,0,0,0,0,0,6.93449349718404E-06,0.000726495845202972,0.000130210413651788,2,-3.31194202473471,4.36184391382548,0.0222380619082463,0.0293746808663071,-4.97684738609495E-05,6.59357830333607E-05,3.71240244095845E-08,4.93303476567033E-08,,-3.30159797122305E-21,0,0.000789259278791083,-2.39053720552993E+17,0.000137176986429141,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.000387982854095268,2047,-0.000401276424695815,0,0,I0_00003,5000,m_oMeasOptDensity,1156911730532.86,1024,102,1945,972.5067,,0,,02/22/2016,2016-02-22 15:47:00,15:47:00,02/22/2016,2016-02-22 15:47:50,15:47:50,25.15,01:00:00,3,,02/22/2016 15:47:25,1,2460.48322637973,0.0000000,0.0000000,02/22/2016 15:48:16,4,2,922.5067
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0,2047,0,0,0,I0_00004,5000,m_oMeasOptDensity,0,1024,102,1945,972525,,0,,02/22/2016,2016-02-22 15:47:51,15:47:51,02/22/2016,2016-02-22 15:48:41,15:48:41,25.1,01:00:00,4,,02/22/2016 15:48:16,1,2460.43487215367,0.0000000,0.0000000,02/22/2016 15:48:16,4,2,922525
0.0135738717243739,0.0867699817799336,0.178585232654975,0.349565381511849,1,0,0,0,0,0,-55377.7243992626,1232715.54993296,0.178585232654975,0.349565381511849,1,0,0,0,0,0,-0.0546569743404973,0.12990401793905,0.178585232654975,0.349565381511849,1,0,0,0,0,0,-278.170020783143,1539.34802047349,0.178585232654975,0.349565381511849,1,0,0,0,0,0,7.5983707465223E-06,0.000806059097357676,0.000136300517736966,1,-1.29342878062814,4.59988700110193,0.00861483726698985,0.0309793373904404,-1.91227960024363E-05,6.95411923041332E-05,1.41466772449049E-08,5.20304053096511E-08,,6.49669278208406E-21,0,0.000826335247516236,1.27193215876703E+17,0.000148735309751961,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.000393617196452293,2047,-0.000432718051063943,0,0,I0_00005,5000,m_oMeasOptDensity,347097525997845,1024,102,1945,972.51,,0,,02/22/2016,2016-02-22 15:48:42,15:48:42,02/22/2016,2016-02-22 15:49:32,15:49:32,25.05,01:00:00,5,,02/22/2016 15:49:07,1,2460.89819097697,0.0000000,0.0000000,02/22/2016 15:48:16,4,2,922.51
-0.038520567493756,0.0839526127805097,-0.0455629253631536,0.147251352540718,1,0,0,0,0,0,939775.973261688,1192690.01916476,-0.0455629253631536,0.147251352540718,1,0,0,0,0,0,0.040487109529142,0.125686112788738,-0.0455629253631536,0.147251352540718,1,0,0,0,0,0,-510.145357041461,1489.36631823912,-0.0455629253631536,0.147251352540718,1,0,0,0,0,0,7.11492362596743E-06,0.000779070905489454,0.000131893507950366,1,1.46438168147983,4.45114809784206,-0.00988754887179693,0.029977610029297,2.2253242870174E-05,6.72925543110209E-05,-1.66942961454492E-08,5.03479845414735E-08,,-7.42859543525186E-21,0,0.000954622027205125,-1.28506396064461E+17,0.000139642075100739,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.000392420029525887,2047,-0.000562201997679238,0,0,I0_00006,5000,m_oMeasOptDensity,239450833328675,1024,102,1945,972545,,0,,02/22/2016,2016-02-22 15:49:32,15:49:32,02/22/2016,2016-02-22 15:50:22,15:50:22,25.02,01:00:00,6,,02/22/2016 15:49:57,1,2460.45920167741,0.0000000,0.0000000,02/22/2016 15:48:16,4,2,922545
-0.022815190325078,0.0884212486091939,-0.434573012446661,0.124103339440512,1,0,0,0,0,0,-25700.1772362671,1263989.53653228,-0.434573012446661,0.124103339440512,1,0,0,0,0,0,0.187168099606089,0.151801851478673,-0.434573012446661,0.124103339440512,1,0,0,0,0,0,-174.867912152471,1589.5774631855,-0.434573012446661,0.124103339440512,1,0,0,0,0,0,8.00345860463767E-06,0.000798327577406603,0.000139886909969545,6,-2.92238192001806,4.59745034940953,0.0196561255393698,0.030956550297161,-4.40645574358911E-05,6.9475666850998E-05,3.29238945349591E-08,5.19705807175646E-08,,-2.15668899733119E-20,0,0.000891881985567078,-4.1354223379947E+16,0.000152195619177226,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.00040967161674739,2047,-0.000482210368819688,0,0,I0_00007,5000,m_oMeasOptDensity,846263313027.43,1024,102,1945,972.5,,0,,02/22/2016,2016-02-22 15:50:23,15:50:23,02/22/2016,2016-02-22 15:51:13,15:51:13,25.01,01:00:00,7,,02/22/2016 15:50:48,1,2460.24951732583,0.0000000,0.0000000,02/22/2016 15:48:16,4,2,922.5
-0.0364043157599755,0.0857218603297329,-0.0584168418139085,0.178744448096236,1,0,0,0,0,0,786118.908335969,1217854.59926154,-0.0584168418139085,0.178744448096236,1,0,0,0,0,0,0.0335340816505922,0.131983912707142,-0.0584168418139085,0.178744448096236,1,0,0,0,0,0,-314.301020610802,1523.7354422521,-0.0584168418139085,0.178744448096236,1,0,0,0,0,0,7.42085611156904E-06,0.00075259316310094,0.000134699303801344,2,-0.485191432593048,4.50745387190311,0.00323452407773725,0.0303550877409243,-7.18550963544488E-06,6.81360043322203E-05,5.31926557640618E-09,5.09761252736564E-08,,-7.62030112390352E-20,0,0.000763021401523775,-1.00130085296802E+16,0.000142371567724019,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.000365205120389898,2047,-0.000397816281133877,0,0,I0_00008,5000,m_oMeasOptDensity,11612370201881.5,1024,102,1945,972.5167,,0,,02/22/2016,2016-02-22 15:51:14,15:51:14,02/22/2016,2016-02-22 15:52:04,15:52:04,25,01:00:00,8,,02/22/2016 15:51:39,1,2461.04065865229,0.0000000,0.0000000,02/22/2016 15:48:16,4,2,922.5167
-0.0312877608139116,0.085148665397351,-0.631747838707988,0.0953559639469895,1,0,0,0,0,0,18246.5215347759,1230870.80485638,-0.631747838707988,0.0953559639469895,1,0,0,0,0,0,0.235976276730997,0.151135589885029,-0.631747838707988,0.0953559639469895,1,0,0,0,0,0,94.9286941961095,1538.37071202135,-0.631747838707988,0.0953559639469895,1,0,0,0,0,0,7.59564714016807E-06,0.000798260118460317,0.000136276421413363,8,-0.466706496528945,4.47114827126426,0.00307878562064662,0.0301065670826409,-6.76430889351834E-06,6.75690681274082E-05,4.9494408717396E-09,5.05451129561027E-08,,-1.97297104570668E-20,0,0.000992778899325544,-5.03189796670306E+16,0.000147899824663382,1308002U1,0,10,1161,753,OpticalDensity,0,2460.43487215367,1024,1211,703,0.000548545283016568,2047,-0.000444233616308976,0,0,I0_00009,5000,m_oMeasOptDensity,205463451027565,1024,102,1945,972.58,,0,,02/22/2016,2016-02-22 15:52:04,15:52:04,02/22/2016,2016-02-22 15:52:54,15:52:54,24.99,01:00:00,9,,02/22/2016 15:52:29,1,2460.70891421369,0.0000000,0.0000000,02/22/2016 15:48:16,4,2,922.58
