Fit Coefficient (NO2),Fit Coefficient Error (NO2),Shift (NO2),Shift Error (NO2),Squeeze (NO2),Squeeze Error (NO2),Quadratic Squeeze (NO2),Quadratic Squeeze Error (NO2),Cubic Squeeze (NO2),Cubic Squeeze Error (NO2),Fit Coefficient (H2O),Fit Coefficient Error (H2O),Shift (H2O),Shift Error (H2O),Squeeze (H2O),Squeeze Error (H2O),Quadratic Squeeze (H2O),Quadratic Squeeze Error (H2O),Cubic Squeeze (H2O),Cubic Squeeze Error (H2O),Fit Coefficient (CHOCHO),Fit Coefficient Error (CHOCHO),Shift (CHOCHO),Shift Error (CHOCHO),Squeeze (CHOCHO),Squeeze Error (CHOCHO),Quadratic Squeeze (CHOCHO),Quadratic Squeeze Error (CHOCHO),Cubic Squeeze (CHOCHO),Cubic Squeeze Error (CHOCHO),Fit Coefficient (O3),Fit Coefficient Error (O3),Shift (O3),Shift Error (O3),Squeeze (O3),Squeeze Error (O3),Quadratic Squeeze (O3),Quadratic Squeeze Error (O3),Cubic Squeeze (O3),Cubic Squeeze Error (O3),Chi Square,Delta,RMS,FitSteps,Poly. Coeff. 0,Poly. Coeff. Error 0,Poly. Coeff. 1,Poly. Coeff. Error 1,Poly. Coeff. 2,Poly. Coeff. Error 2,Poly. Coeff. 3,Poly. Coeff. Error 3,Author,Average,AzimuthAngle,Delta,DeltaRel,Deviation,Device,ElevationAngle,ExposureTime,FitHigh,FitLow,IntensityScale,LightPath,LightSource,Marker,MathHigh,MathLow,Max,MaxChannel,Min,MinChannel,MultiChannelCounter,Name,NumScans,ObjectKey,OpticalDensity,OpticalDensityCenter,OpticalDensityLeft,OpticalDensityRight,Pressure,Remark,ScanMax,Site,StartDate,StartDateAndTime,StartTime,StopDate,StopDateAndTime,StopTime,TemperatureAmbient,TimeZoneOffset,File Number,UserParam4,Center Time,NAddupSpectra,Avg. Intensity,HR Latitude,HR Longitude,I0 Center Time,I0 File Number,#ICEDOAS iter.,CellPressure
0.429599737055407,0.116559107628531,-0.0154607844015359,0.0568373565624568,1,0,0,0,0,0,319865.126852618,1655022.97497006,-0.0154607844015359,0.0568373565624568,1,0,0,0,0,0,-0.106358749190746,0.174395974971167,-0.0154607844015359,0.0568373565624568,1,0,0,0,0,0,327.393092460128,2066.58757796886,-0.0154607844015359,0.0568373565624568,1,0,0,0,0,0,1.42743857929767E-05,0.00100959804233488,0.000186817280083356,1,-0.618198279520262,6.29922867305447,0.0041489121728244,0.0424240703795181,-9.28038878457305E-06,9.5231879059408E-05,6.918673994814E-09,7.12520646588441E-08,,-1.90853663368765E-19,0,0.00128249678848898,-6.71979130948594E+15,0.000207574641723784,1308002U1,0,10,1161,753,OpticalDensity,0,2464.05536642677,1024,1211,703,0.000687854426769703,2047,-0.000594642361719277,0,0,Meas_00000,3000,m_oMeasOptDensity,0,1024,102,1945,992.5717,,0,,02/22/2016,2016-02-22 15:58:25,15:58:25,02/22/2016,2016-02-22 15:58:55,15:58:55,25.03,01:00:00,0,-1,02/22/2016 15:58:40,1,2452.68311288383,0.0000000,0.0000000,02/22/2016 16:09:03,20,3,942.5717
0.107519075412113,0.112092460354896,0.0936708729113697,0.214708279201618,1,0,0,0,0,0,192358.110539805,1592482.90865962,0.0936708729113697,0.214708279201618,1,0,0,0,0,0,0.00474149769827602,0.167796935025674,0.0936708729113697,0.214708279201618,1,0,0,0,0,0,713.495584840294,1988.51443937535,0.0936708729113697,0.214708279201618,1,0,0,0,0,0,1.32185969637954E-05,0.00121961866586681,0.000179775715594732,1,-3.16833345361199,6.0603652440575,0.0213748116316242,0.0408153728346279,-4.80642754977774E-05,9.16207408317463E-05,3.60239390534397E-08,6.85502296452607E-08,,-2.17266447138549E-19,0,0.00127359799709232,-5.86191753888331E+15,0.000191092347934248,1308002U1,0,10,1161,753,OpticalDensity,0,2464.05536642677,1024,1211,703,0.000579908416164692,2047,-0.000693689580927631,0,0,Meas_00001,3000,m_oMeasOptDensity,1399307317182.69,1024,102,1945,992555,,0,,02/22/2016,2016-02-22 15:58:57,15:58:57,02/22/2016,2016-02-22 15:59:27,15:59:27,25.07,01:00:00,1,-1,02/22/2016 15:59:12,1,2460.58342391358,0.0000000,0.0000000,02/22/2016 16:09:03,20,3,942555
0.072947559159484,0.110461405580827,-0.300302103003444,0.127345401409056,1,0,0,0,0,0,-1143380.9532271,1571269.74833324,-0.300302103003444,0.127345401409056,1,0,0,0,0,0,-0.13029766310599,0.180209809318295,-0.300302103003444,0.127345401409056,1,0,0,0,0,0,-36.5983998843187,1973.95717326321,-0.300302103003444,0.127345401409056,1,0,0,0,0,0,1.28707254748386E-05,0.000999587886643353,0.000177394183187259,3,2.184155229224,5.87274433693809,-0.0146552181495324,0.0395455659272436,3.27735322646128E-05,8.87563186950708E-05,-2.4427358486668E-08,6.63965595755013E-08,,-2.2046154194941E-20,0,0.00109664909833791,-4.97433288654747E+16,0.000184522564954528,1308002U1,0,10,1161,753,OpticalDensity,0,2464.05536642677,1024,1211,703,0.000590810436862118,2047,-0.000505838661475797,0,0,Meas_00002,3000,m_oMeasOptDensity,0,1024,102,1945,992.47,,0,,02/22/2016,2016-02-22 15:59:28,15:59:28,02/22/2016,2016-02-22 15:59:58,15:59:58,25.15,01:00:00,2,-1,02/22/2016 15:59:43,1,2461.04175559483,0.0000000,0.0000000,02/22/2016 16:09:03,20,2,942.47
0.100793856096622,0.114663851157787,-0.646232357608532,0.212712466580681,1,0,0,0,0,0,-314026.401405305,1660453.95779668,-0.646232357608532,0.212712466580681,1,0,0,0,0,0,0.0584172850674428,0.204321780972617,-0.646232357608532,0.212712466580681,1,0,0,0,0,0,105.41636552247,2073.58167775327,-0.646232357608532,0.212712466580681,1,0,0,0,0,0,1.43869138401084E-05,0.00101433452249047,0.000187552201959675,6,0.186378749756417,6.15312226819391,-0.00127605847147062,0.0414322613949697,2.90869779996948E-06,9.29878591296102E-05,-2.20752784520684E-09,6.95598124184442E-08,,1.256737292272E-19,0,0.00126463019772068,1.00628047364968E+16,0.000199451911117154,1308002U1,0,10,1161,753,OpticalDensity,0,2464.05536642677,1024,1211,703,0.000720220018717598,2047,-0.000544410179003086,0,0,Meas_00003,3000,m_oMeasOptDensity,0,1024,102,1945,992485,,0,,02/22/2016,2016-02-22 15:59:59,15:59:59,02/22/2016,2016-02-22 16:00:29,16:00:29,25.19,01:00:00,3,-1,02/22/2016 16:00:14,1,2461.85118151603,0.0000000,0.0000000,02/22/2016 16:09:03,20,2,942485
0.0190442664936282,0.121285232123809,-0.23762407571045,0.549134382684453,1,0,0,0,0,0,220838.673452886,1723083.41362537,-0.23762407571045,0.549134382684453,1,0,0,0,0,0,0.0376070179020519,0.181558065099279,-0.23762407571045,0.549134382684453,1,0,0,0,0,0,-198.711386444455,2151.59373429393,-0.23762407571045,0.549134382684453,1,0,0,0,0,0,1.54602326394487E-05,0.00105680038682443,0.000194422250342178,1,6.51256164278311,6.55411610668924,-0.0437939813779016,0.0441406881801832,9.81541661687048E-05,9.9085277703512E-05,-7.33221100015524E-08,7.41351628395331E-08,,-1.95433299264332E-20,0,0.00129502229831865,-6.62641578069599E+16,0.000203817431162277,1308002U1,0,10,1161,753,OpticalDensity,0,2464.05536642677,1024,1211,703,0.000688689360237317,2047,-0.000606332938081336,0,0,Meas_00004,3000,m_oMeasOptDensity,442149465812368,1024,102,1945,992465,,0,,02/22/2016,2016-02-22 16:00:30,16:00:30,02/22/2016,2016-02-22 16:01:00,16:01:00,25.19,01:00:00,4,-1,02/22/2016 16:00:45,1,2461.75909517489,0.0000000,0.0000000,02/22/2016 16:09:03,20,2,942465
0.0973561697191554,0.116287870823722,-0.398946915274387,0.22014690711857,1,0,0,0,0,0,263514.066818254,1674561.99168538,-0.398946915274387,0.22014690711857,1,0,0,0,0,0,0.054366182973949,0.204409536765944,-0.398946915274387,0.22014690711857,1,0,0,0,0,0,211.603537332455,2096.97322374767,-0.398946915274387,0.22014690711857,1,0,0,0,0,0,1.46304837203783E-05,0.00100458573574978,0.000189133164266111,3,2.08294763837534,6.20306630618845,-0.0140189877973412,0.0417682341804498,3.14456622894761E-05,9.37411698719341E-05,-2.35077463741799E-08,7.01227936141553E-08,,7.98773702715254E-21,0,0.00110529960810947,1.38374561449914E+17,0.000196268517605396,1308002U1,0,10,1161,753,OpticalDensity,0,2464.05536642677,1024,1211,703,0.000568228621734956,2047,-0.000537070986374514,0,0,Meas_00005,3000,m_oMeasOptDensity,0,1024,102,1945,992.4234,,0,,02/22/2016,2016-02-22 16:01:01,16:01:01,02/22/2016,2016-02-22 16:01:31,16:01:31,25.18,01:00:00,5,-1,02/22/2016 16:01:16,1,2461.90938335606,0.0000000,0.0000000,02/22/2016 16:09:03,20,2,942.4234
0.000568869678492924,0.112162429165824,0.119741518869113,0.233630314185493,1,0,0,0,0,0,880329.404821422,1593476.94639588,0.119741518869113,0.233630314185493,1,0,0,0,0,0,-0.0108330397736986,0.167901674916153,0.119741518869113,0.233630314185493,1,0,0,0,0,0,-7.57065700360776,1989.75568245624,0.119741518869113,0.233630314185493,1,0,0,0,0,0,1.32256206706846E-05,0.00127094435017799,0.000179823465916502,1,1.77512710217869,6.06197511900635,-0.0118832826998898,0.0408262150270715,2.65106406255604E-05,9.16450789581661E-05,-1.97097047001702E-08,6.85684393228955E-08,,-3.09391680851708E-20,0,0.00133519369811442,-4.31554492492763E+16,0.00019154353082822,1308002U1,0,10,1161,753,OpticalDensity,0,2464.05536642677,1024,1211,703,0.000764512894078198,2047,-0.000570680804036222,0,0,Meas_00006,3000,m_oMeasOptDensity,0,1024,102,1945,992.47,,0,,02/22/2016,2016-02-22 16:01:32,16:01:32,02/22/2016,2016-02-22 16:02:02,16:02:02,25.15,01:00:00,6,-1,02/22/2016 16:01:47,1,2461.99586043147,0.0000000,0.0000000,02/22/2016 16:09:03,20,2,942.47
0.114472289541302,0.107681717177606,-0.447239745081116,0.137453749462778,1,0,0,0,0,0,-1045885.10776017,1534327.96960485,-0.447239745081116,0.137453749462778,1,0,0,0,0,0,-0.0406038463064108,0.180514486482925,-0.447239745081116,0.137453749462778,1,0,0,0,0,0,311.389168995219,1929.546794198,-0.447239745081116,0.137453749462778,1,0,0,0,0,0,1.22804290214819E-05,0.0010458180414725,0.00017327859237533,3,2.59960069893236,5.71139631522448,-0.0175082137484016,0.0384578798550919,3.92984588701788E-05,8.63123812274043E-05,-2.93973374734953E-08,6.45662556584426E-08,,-1.61352287948481E-20,0,0.00105025929273204,-6.50910691187339E+16,0.000180002547925829,1308002U1,0,10,1161,753,OpticalDensity,0,2464.05536642677,1024,1211,703,0.00057342532730802,2047,-0.000476833965424024,0,0,Meas_00007,3000,m_oMeasOptDensity,0,1024,102,1945,992545,,0,,02/22/2016,2016-02-22 16:02:03,16:02:03,02/22/2016,2016-02-22 16:02:33,16:02:33,25.13,01:00:00,7,-1,02/22/2016 16:02:18,1,2462.57774034065,0.0000000,0.0000000,02/22/2016 16:09:03,20,2,942545
0.034330101883573,0.109457829593237,-0.00111029445763688,0.479055087062356,1,0,0,0,0,0,22971.974268867,1555053.05436534,-0.00111029445763688,0.479055087062356,1,0,0,0,0,0,-0.0377613834819311,0.163853021533802,-0.00111029445763688,0.479055087062356,1,0,0,0,0,0,481.472412815032,1941.77622615927,-0.00111029445763688,0.479055087062356,1,0,0,0,0,0,1.2600824023465E-05,0.00104203316013789,0.000175524530168336,1,-3.61788728661629,5.91705480134288,0.0242946748490193,0.0398502050741158,-5.43796167945388E-05,8.94541702701265E-05,4.05723712058114E-08,6.69292112143527E-08,,2.85428469770251E-20,0,0.00119094492063045,4.17248118798057E+16,0.000186540507620894,1308002U1,0,10,1161,753,OpticalDensity,0,2464.05536642677,1024,1211,703,0.000661639447698855,2047,-0.000529305472931596,0,0,Meas_00008,3000,m_oMeasOptDensity,0,1024,102,1945,992.5117,,0,,02/22/2016,2016-02-22 16:02:34,16:02:34,02/22/2016,2016-02-22 16:03:04,16:03:04,25.1,01:00:00,8,-1,02/22/2016 16:02:49,1,2462.73733854196,0.0000000,0.0000000,02/22/2016 16:09:03,20,2,942.5117
0.107307789639736,0.113877710587328,-0.0411536805386771,0.149411685037996,1,0,0,0,0,0,277553.875532949,1617845.72497953,-0.0411536805386771,0.149411685037996,1,0,0,0,0,0,-0.135002730461702,0.170469367375784,-0.0411536805386771,0.149411685037996,1,0,0,0,0,0,-149.72675367178,2020.18468600789,-0.0411536805386771,0.149411685037996,1,0,0,0,0,0,1.36442554644315E-05,0.00119086082897869,0.000182647225136484,1,1.83983679494755,6.15716850784135,-0.0124339737807106,0.0414673238547122,2.80046013049656E-05,9.3084214795053E-05,-2.10202746162154E-08,6.96451943372486E-08,,5.48491275864474E-20,0,0.00121669688128326,2.21826113709033E+16,0.000189433103676177,1308002U1,0,10,1161,753,OpticalDensity,0,2464.05536642677,1024,1211,703,0.00052930455047213,2047,-0.000687392330811127,0,0,Meas_00009,3000,m_oMeasOptDensity,477226439812418,1024,102,1945,992.5034,,0,,02/22/2016,2016-02-22 16:03:05,16:03:05,02/22/2016,2016-02-22 16:03:35,16:03:35,25.04,01:00:00,9,-1,02/22/2016 16:03:20,1,2462.73955070703,0.0000000,0.0000000,02/22/2016 16:09:03,20,2,942.5034
